state,count,amount
Andaman & Nicobar,12731498,28446581910
Andhra Pradesh,7773177203,1.63E+13
Arunachal Pradesh,45677797,1.07E+11
Assam,780474063,1.55E+12
Bihar,3977193733,7.91E+12
Chandigarh,112190108,1.88E+11
Chhattisgarh,1405754947,2.10E+12
Dadra and Nagar Haveli and Daman and Diu,69127620,83707688699
Delhi,4166796855,6.38E+12
Goa,149575299,2.34E+11
Gujarat,2831658126,4.87E+12
Haryana,2709451478,4.52E+12
Himachal Pradesh,233181352,3.69E+11
Jammu & Kashmir,258420150,4.77E+11
Jharkhand,1537719636,2.50E+12
Karnataka,13482607291,1.91E+13
Kerala,1126251724,1.63E+12
Ladakh,11634662,34082659537
Lakshadweep,231242,678532350.8
Madhya Pradesh,6046299890,9.29E+12
Maharashtra,14301466303,1.97E+13
Manipur,50012255,1.32E+11
Meghalaya,29439766,68872406554
Mizoram,8057865,23641507369
Nagaland,22788422,64769474413
Odisha,3588748269,5.64E+12
Puducherry,80659260,1.29E+11
Punjab,796475065,1.53E+12
Rajasthan,7124629882,1.24E+13
Sikkim,26559462,58284385901
Tamil Nadu,3702448176,6.19E+12
Telangana,12249577388,2.16E+13
Tripura,47412898,90265916396
Uttar Pradesh,6850594175,1.17E+13
Uttarakhand,622266664,9.40E+11
West Bengal,3692511837,6.88E+12
