state,open,user
Andaman & Nicobar,55990491,1065873
Andhra Pradesh,16592328253,364152369
Andhra Pradesh,433071555,4758460
Assam,3175948076,65751216
Bihar,5961505256,275846539
Chandigarh,87531140,8464597
Chhattisgarh,4581064324,88413490
Dadra and Nagar Haveli and Daman and Diu,105872280,6391448
Delhi,2814409699,212295954
Goa,258524814,11113600
Gujarat,7060995458,292692976
Haryana,4091621405,196750221
Himachal Pradesh,875430314,31842033
Jammu & Kashmir,849221648,23096788
Jharkhand,4121666232,105612053
Karnataka,23290599433,471583659
Kerala,1736881956,128481252
Ladakh,108051410,1373464
Lakshadweep,674535,85923
Madhya Pradesh,17353603404,295272755
Maharashtra,26522089853,731502061
Manipur,175606590,5866183
Meghalaya,224376725,3635102
Mizoram,113719974,1595911
Nagaland,201497099,3826312
Odisha,7473129491,185210262
Puducherry,101545917,6650121
Punjab,1754616393,108726350
Rajasthan,24452377126,351929284
Sikkim,134618167,3081070
Tamil Nadu,8414907702,319239086
Telangana,15330516951,340003500
Tripura,208188516,8697494
Uttar Pradesh,13359784863,584039374
Uttarakhand,1564817058,55501872
West Bengal,4960317628,333723149
